#    L    TT             EE             BB             TE             PP             PT             PE         
   112    3.10726E+03    9.66711E-01    2.26316E-02   -3.15870E+01    9.48086E-08    3.30047E-04   -7.43438E-07
   113    3.13995E+03    9.78509E-01    2.25174E-02   -3.22015E+01    9.42219E-08    3.26436E-04   -7.44039E-07
   114    3.17280E+03    9.89972E-01    2.23989E-02   -3.28096E+01    9.36393E-08    3.22875E-04   -7.47543E-07
   115    3.20579E+03    1.00110E+00    2.22764E-02   -3.34109E+01    9.30608E-08    3.19363E-04   -7.53690E-07
   116    3.23892E+03    1.01188E+00    2.21501E-02   -3.40048E+01    9.24866E-08    3.15901E-04   -7.62218E-07
   117    3.27219E+03    1.02228E+00    2.20203E-02   -3.45907E+01    9.19165E-08    3.12489E-04   -7.72866E-07
   118    3.30558E+03    1.03232E+00    2.18873E-02   -3.51680E+01    9.13505E-08    3.09126E-04   -7.85373E-07
   119    3.33908E+03    1.04196E+00    2.17513E-02   -3.57363E+01    9.07887E-08    3.05813E-04   -7.99478E-07
   120    3.37270E+03    1.05122E+00    2.16126E-02   -3.62949E+01    9.02311E-08    3.02548E-04   -8.14919E-07
   121    3.40641E+03    1.06006E+00    2.14715E-02   -3.68432E+01    8.96776E-08    2.99333E-04   -8.31437E-07
   122    3.44020E+03    1.06849E+00    2.13282E-02   -3.73809E+01    8.91282E-08    2.96167E-04   -8.48770E-07
   123    3.47408E+03    1.07650E+00    2.11829E-02   -3.79072E+01    8.85830E-08    2.93050E-04   -8.66659E-07
   124    3.50803E+03    1.08406E+00    2.10361E-02   -3.84216E+01    8.80419E-08    2.89981E-04   -8.84841E-07
   125    3.54203E+03    1.09119E+00    2.08878E-02   -3.89237E+01    8.75050E-08    2.86962E-04   -9.03059E-07
   126    3.57609E+03    1.09787E+00    2.07384E-02   -3.94129E+01    8.69722E-08    2.83991E-04   -9.21050E-07
   127    3.61018E+03    1.10410E+00    2.05882E-02   -3.98887E+01    8.64435E-08    2.81069E-04   -9.38556E-07
   128    3.64431E+03    1.10985E+00    2.04374E-02   -4.03505E+01    8.59190E-08    2.78195E-04   -9.55316E-07
   129    3.67846E+03    1.11514E+00    2.02863E-02   -4.07978E+01    8.53986E-08    2.75370E-04   -9.71069E-07
   130    3.71262E+03    1.11995E+00    2.01351E-02   -4.12301E+01    8.48824E-08    2.72593E-04   -9.85557E-07
