#  L 		 TT 		 EE 		 BB 		 TE 		 TB 		 EB
  92     3.54555e+00     3.85553e-02     1.49119e-02     1.14589e-01     4.44207e-03     1.91696e-04
  93     3.43839e+00     3.65521e-02     1.47384e-02     1.01523e-01     3.89054e-03     1.11477e-03
  94     3.36023e+00     3.48525e-02     1.47339e-02     9.02364e-02     3.13826e-03     3.78108e-03
  95     3.30664e+00     3.34623e-02     1.48628e-02     8.07660e-02     2.20689e-03     8.08197e-03
  96     3.27293e+00     3.23805e-02     1.50853e-02     7.30423e-02     1.12673e-03     1.37070e-02
  97     3.25525e+00     3.16102e-02     1.53595e-02     6.69541e-02    -6.08347e-05     2.01713e-02
  98     3.24965e+00     3.11495e-02     1.56382e-02     6.23574e-02    -1.30178e-03     2.68449e-02
  99     3.25196e+00     3.09872e-02     1.58690e-02     5.90959e-02    -2.52776e-03     3.29985e-02
 100     3.25886e+00     3.11103e-02     1.60047e-02     5.70352e-02    -3.65910e-03     3.78925e-02
 101     3.26621e+00     3.14832e-02     1.60019e-02     5.60352e-02    -4.61075e-03     4.08693e-02
 102     3.27076e+00     3.20609e-02     1.58374e-02     5.59787e-02    -5.30579e-03     4.14917e-02
 103     3.26821e+00     3.27692e-02     1.55054e-02     5.67274e-02    -5.68701e-03     3.96142e-02
 104     3.25571e+00     3.35321e-02     1.50313e-02     5.81512e-02    -5.73262e-03     3.54484e-02
 105     3.23000e+00     3.42599e-02     1.44590e-02     6.00834e-02    -5.45854e-03     2.94902e-02
 106     3.18862e+00     3.48681e-02     1.38470e-02     6.23348e-02    -4.91667e-03     2.24173e-02
 107     3.12891e+00     3.52727e-02     1.32517e-02     6.46728e-02    -4.18208e-03     1.49379e-02
 108     3.04962e+00     3.54116e-02     1.27233e-02     6.68612e-02    -3.34113e-03     7.67931e-03
 109     2.94998e+00     3.52336e-02     1.22930e-02     6.86533e-02    -2.47599e-03     1.10535e-03
 110     2.83011e+00     3.47033e-02     1.19705e-02     6.98186e-02    -1.65515e-03    -4.50039e-03
 111     2.69211e+00     3.38123e-02     1.17484e-02     7.01860e-02    -9.28252e-04    -9.01514e-03
 112     2.53965e+00     3.25764e-02     1.16035e-02     6.96590e-02    -3.23547e-04    -1.24379e-02
 113     2.37786e+00     3.10351e-02     1.15032e-02     6.82292e-02     1.50732e-04    -1.48423e-02
 114     2.21246e+00     2.92450e-02     1.14097e-02     6.59667e-02     5.02435e-04    -1.63329e-02
 115     2.04989e+00     2.72829e-02     1.12894e-02     6.30261e-02     7.50190e-04    -1.70195e-02
 116     1.89556e+00     2.52262e-02     1.11123e-02     5.95923e-02     9.17474e-04    -1.69938e-02
 117     1.75440e+00     2.31583e-02     1.08590e-02     5.58826e-02     1.02776e-03    -1.63319e-02
 118     1.62937e+00     2.11494e-02     1.05157e-02     5.20878e-02     1.10028e-03    -1.50884e-02
 119     1.52212e+00     1.92614e-02     1.00762e-02     4.83754e-02     1.14817e-03    -1.33105e-02
 120     1.43305e+00     1.75478e-02     9.54116e-03     4.48829e-02     1.17796e-03    -1.10487e-02
 121     1.36124e+00     1.60498e-02     8.91480e-03     4.17083e-02     1.18998e-03    -8.36476e-03
 122     1.30516e+00     1.48036e-02     8.20799e-03     3.89326e-02     1.18039e-03    -5.34592e-03
 123     1.26250e+00     1.38346e-02     7.43603e-03     3.66139e-02     1.14290e-03    -2.10843e-03
 124     1.23065e+00     1.31589e-02     6.62174e-03     3.48035e-02     1.07163e-03     1.19799e-03
 125     1.20693e+00     1.27789e-02     5.79592e-03     3.35454e-02     9.63511e-04     4.39663e-03
 126     1.18868e+00     1.26773e-02     4.99628e-03     3.28700e-02     8.20280e-04     7.29920e-03
 127     1.17362e+00     1.28144e-02     4.26546e-03     3.27866e-02     6.49327e-04     9.73029e-03
 128     1.15999e+00     1.31280e-02     3.64596e-03     3.32710e-02     4.62827e-04     1.15556e-02
 129     1.14676e+00     1.35391e-02     3.17425e-03     3.42571e-02     2.75184e-04     1.27053e-02
 130     1.13347e+00     1.39605e-02     2.87522e-03     3.56323e-02     9.94680e-05     1.31820e-02
 131     1.12021e+00     1.43088e-02     2.75944e-03     3.72456e-02    -5.58942e-05     1.30542e-02
 132     1.10748e+00     1.45157e-02     2.82338e-03     3.89225e-02    -1.89271e-04     1.24363e-02
 133     1.09576e+00     1.45311e-02     3.05127e-03     4.04719e-02    -3.06282e-04     1.14611e-02
