#    L    TT             EE             BB             TE          
   162   0.476251E+04   0.106186E+01   0.320327E-01  -0.446619E+02
   163   0.479204E+04   0.105157E+01   0.316096E-01  -0.443617E+02
   164   0.482113E+04   0.104106E+01   0.311998E-01  -0.440367E+02
   165   0.485009E+04   0.103027E+01   0.308034E-01  -0.436846E+02
   166   0.487876E+04   0.101934E+01   0.304207E-01  -0.433070E+02
   167   0.490721E+04   0.100805E+01   0.300519E-01  -0.429046E+02
   168   0.493522E+04   0.996768E+00   0.296972E-01  -0.424750E+02
   169   0.496293E+04   0.985204E+00   0.293568E-01  -0.420184E+02
   170   0.499034E+04   0.973581E+00   0.290308E-01  -0.415361E+02
   171   0.501730E+04   0.961898E+00   0.287194E-01  -0.410259E+02
   172   0.504389E+04   0.950082E+00   0.284229E-01  -0.404892E+02
   173   0.507002E+04   0.938136E+00   0.281415E-01  -0.399262E+02
   174   0.509585E+04   0.926355E+00   0.278752E-01  -0.393367E+02
   175   0.512130E+04   0.914446E+00   0.276245E-01  -0.387199E+02
   176   0.514621E+04   0.902630E+00   0.273892E-01  -0.380759E+02
   177   0.517074E+04   0.890836E+00   0.271694E-01  -0.374062E+02
   178   0.519480E+04   0.879286E+00   0.269646E-01  -0.367091E+02
   179   0.521841E+04   0.867685E+00   0.267747E-01  -0.359848E+02
   180   0.524171E+04   0.856257E+00   0.265995E-01  -0.352347E+02
   181   0.526448E+04   0.845002E+00   0.264386E-01  -0.344588E+02
   182   0.528678E+04   0.833996E+00   0.262917E-01  -0.336555E+02
   183   0.530856E+04   0.823166E+00   0.261588E-01  -0.328264E+02
   184   0.532994E+04   0.812586E+00   0.260394E-01  -0.319707E+02
   185   0.535087E+04   0.802407E+00   0.259334E-01  -0.310906E+02
   186   0.537097E+04   0.792488E+00   0.258404E-01  -0.301832E+02
   187   0.539090E+04   0.782971E+00   0.257603E-01  -0.292498E+02
   188   0.541031E+04   0.773842E+00   0.256927E-01  -0.282921E+02
   189   0.542910E+04   0.765140E+00   0.256374E-01  -0.273084E+02
   190   0.544773E+04   0.756917E+00   0.255942E-01  -0.263010E+02
   191   0.546545E+04   0.749196E+00   0.255628E-01  -0.252669E+02
   192   0.548279E+04   0.742002E+00   0.255429E-01  -0.242083E+02
   193   0.549952E+04   0.735378E+00   0.255343E-01  -0.231267E+02
   194   0.551587E+04   0.729356E+00   0.255367E-01  -0.220199E+02
   195   0.553161E+04   0.723974E+00   0.255499E-01  -0.208900E+02
   196   0.554674E+04   0.719269E+00   0.255736E-01  -0.197364E+02
   197   0.556141E+04   0.715288E+00   0.256076E-01  -0.185604E+02
   198   0.557554E+04   0.712053E+00   0.256515E-01  -0.173614E+02
   199   0.558914E+04   0.709602E+00   0.257052E-01  -0.161400E+02
   200   0.560221E+04   0.707966E+00   0.257683E-01  -0.148970E+02
   201   0.561467E+04   0.707205E+00   0.258406E-01  -0.136317E+02
   202   0.562659E+04   0.707326E+00   0.259219E-01  -0.123454E+02
   203   0.563791E+04   0.708389E+00   0.260119E-01  -0.110376E+02
   204   0.564854E+04   0.710415E+00   0.261103E-01  -0.971110E+01
   205   0.565863E+04   0.713450E+00   0.262168E-01  -0.836375E+01
   206   0.566805E+04   0.717531E+00   0.263312E-01  -0.699681E+01
   207   0.567693E+04   0.722678E+00   0.264531E-01  -0.561072E+01
   208   0.568505E+04   0.728945E+00   0.265824E-01  -0.420602E+01
   209   0.569256E+04   0.736353E+00   0.267187E-01  -0.278307E+01
   210   0.569947E+04   0.744954E+00   0.268618E-01  -0.134278E+01
   211   0.570576E+04   0.754778E+00   0.270114E-01   0.114794E+00
   212   0.571130E+04   0.765854E+00   0.271673E-01   0.158871E+01
   213   0.571630E+04   0.778226E+00   0.273291E-01   0.307901E+01
   214   0.572062E+04   0.791887E+00   0.274966E-01   0.458448E+01
   215   0.572433E+04   0.807030E+00   0.276695E-01   0.610437E+01
   216   0.572736E+04   0.823468E+00   0.278475E-01   0.763921E+01
   217   0.572985E+04   0.841358E+00   0.280304E-01   0.918699E+01
   218   0.573166E+04   0.860699E+00   0.282179E-01   0.107479E+02
   219   0.573286E+04   0.881491E+00   0.284097E-01   0.123230E+02
   220   0.573345E+04   0.903882E+00   0.286056E-01   0.139077E+02
   221   0.573343E+04   0.927798E+00   0.288052E-01   0.155042E+02
   222   0.573280E+04   0.953386E+00   0.290084E-01   0.171112E+02
   223   0.573141E+04   0.980573E+00   0.292147E-01   0.187293E+02
   224   0.572956E+04   0.100936E+01   0.294240E-01   0.203548E+02
   225   0.572703E+04   0.103989E+01   0.296360E-01   0.219907E+02
   226   0.572388E+04   0.107216E+01   0.298503E-01   0.236333E+02
   227   0.572006E+04   0.110619E+01   0.300668E-01   0.252840E+02
   228   0.571569E+04   0.114195E+01   0.302851E-01   0.269413E+02
   229   0.571072E+04   0.117954E+01   0.305050E-01   0.286039E+02
   230   0.570507E+04   0.121894E+01   0.307261E-01   0.302723E+02
   231   0.569873E+04   0.126024E+01   0.309483E-01   0.319460E+02
   232   0.569185E+04   0.130336E+01   0.311711E-01   0.336233E+02
   233   0.568436E+04   0.134851E+01   0.313945E-01   0.353028E+02
   234   0.567612E+04   0.139556E+01   0.316180E-01   0.369853E+02
   235   0.566734E+04   0.144457E+01   0.318413E-01   0.386692E+02
   236   0.565788E+04   0.149554E+01   0.320643E-01   0.403545E+02
   237   0.564780E+04   0.154856E+01   0.322867E-01   0.420398E+02
   238   0.563712E+04   0.160369E+01   0.325080E-01   0.437251E+02
   239   0.562590E+04   0.166078E+01   0.327282E-01   0.454097E+02
   240   0.561392E+04   0.171991E+01   0.329468E-01   0.470912E+02
   241   0.560148E+04   0.178122E+01   0.331636E-01   0.487704E+02
   242   0.558843E+04   0.184457E+01   0.333784E-01   0.504467E+02
   243   0.557477E+04   0.191010E+01   0.335908E-01   0.521184E+02
   244   0.556050E+04   0.197775E+01   0.338006E-01   0.537864E+02
   245   0.554562E+04   0.204757E+01   0.340075E-01   0.554477E+02
   246   0.553020E+04   0.211958E+01   0.342112E-01   0.571038E+02
   247   0.551424E+04   0.219370E+01   0.344114E-01   0.587524E+02
   248   0.549768E+04   0.227030E+01   0.346078E-01   0.603936E+02
   249   0.548065E+04   0.234886E+01   0.348002E-01   0.620265E+02
   250   0.546302E+04   0.242982E+01   0.349883E-01   0.636498E+02
   251   0.544492E+04   0.251289E+01   0.351719E-01   0.652642E+02
   252   0.542614E+04   0.259828E+01   0.353509E-01   0.668681E+02
   253   0.540704E+04   0.268578E+01   0.355254E-01   0.684601E+02
   254   0.538734E+04   0.277568E+01   0.356956E-01   0.700401E+02
   255   0.536710E+04   0.286769E+01   0.358614E-01   0.716082E+02
   256   0.534640E+04   0.296216E+01   0.360229E-01   0.731643E+02
   257   0.532525E+04   0.305867E+01   0.361803E-01   0.747002E+02
   258   0.530356E+04   0.315756E+01   0.363335E-01   0.762286E+02
   259   0.528141E+04   0.325871E+01   0.364826E-01   0.777346E+02
   260   0.525888E+04   0.336210E+01   0.366277E-01   0.792331E+02
   261   0.523582E+04   0.346767E+01   0.367688E-01   0.807016E+02
   262   0.521223E+04   0.357562E+01   0.369061E-01   0.821626E+02
   263   0.518848E+04   0.368575E+01   0.370396E-01   0.836085E+02
   264   0.516412E+04   0.379812E+01   0.371694E-01   0.850320E+02
   265   0.513924E+04   0.391265E+01   0.372954E-01   0.864255E+02
   266   0.511405E+04   0.402958E+01   0.374179E-01   0.878114E+02
   267   0.508834E+04   0.414852E+01   0.375369E-01   0.891674E+02
   268   0.506224E+04   0.426984E+01   0.376523E-01   0.905083E+02
   269   0.503562E+04   0.439326E+01   0.377644E-01   0.918266E+02
   270   0.500877E+04   0.451884E+01   0.378732E-01   0.931224E+02
   271   0.498146E+04   0.464651E+01   0.379788E-01   0.943957E+02
   272   0.495393E+04   0.477656E+01   0.380811E-01   0.956390E+02
   273   0.492595E+04   0.490840E+01   0.381804E-01   0.968671E+02
   274   0.489766E+04   0.504262E+01   0.382766E-01   0.980577E+02
   275   0.486900E+04   0.517870E+01   0.383699E-01   0.992332E+02
   276   0.484011E+04   0.531686E+01   0.384602E-01   0.100371E+03
   277   0.481078E+04   0.545711E+01   0.385478E-01   0.101494E+03
   278   0.478121E+04   0.559936E+01   0.386327E-01   0.102579E+03
   279   0.475135E+04   0.574355E+01   0.387149E-01   0.103635E+03
   280   0.472119E+04   0.588966E+01   0.387945E-01   0.104675E+03
