#    L    TT             EE             BB             TE          
   200   0.680361E+01   0.212651E-01   0.124828E-01   0.134729E+00
   201   0.688889E+01   0.207853E-01   0.124067E-01   0.131090E+00
   202   0.696861E+01   0.203302E-01   0.123387E-01   0.127220E+00
   203   0.704287E+01   0.198995E-01   0.122787E-01   0.123130E+00
   204   0.711174E+01   0.194926E-01   0.122264E-01   0.118829E+00
   205   0.717531E+01   0.191091E-01   0.121814E-01   0.114330E+00
   206   0.723367E+01   0.187484E-01   0.121437E-01   0.109643E+00
   207   0.728689E+01   0.184101E-01   0.121128E-01   0.104778E+00
   208   0.733506E+01   0.180937E-01   0.120886E-01   0.997453E-01
   209   0.737826E+01   0.177988E-01   0.120708E-01   0.945567E-01
   210   0.741657E+01   0.175248E-01   0.120591E-01   0.892224E-01
   211   0.745009E+01   0.172712E-01   0.120533E-01   0.837532E-01
   212   0.747888E+01   0.170376E-01   0.120531E-01   0.781596E-01
   213   0.750304E+01   0.168235E-01   0.120583E-01   0.724524E-01
   214   0.752265E+01   0.166284E-01   0.120685E-01   0.666423E-01
   215   0.753779E+01   0.164519E-01   0.120836E-01   0.607398E-01
   216   0.754855E+01   0.162934E-01   0.121032E-01   0.547558E-01
   217   0.755500E+01   0.161524E-01   0.121272E-01   0.487009E-01
   218   0.755723E+01   0.160285E-01   0.121552E-01   0.425858E-01
   219   0.755533E+01   0.159213E-01   0.121871E-01   0.364211E-01
   220   0.754938E+01   0.158301E-01   0.122224E-01   0.302175E-01
   221   0.753945E+01   0.157546E-01   0.122611E-01   0.239857E-01
   222   0.752564E+01   0.156942E-01   0.123028E-01   0.177365E-01
   223   0.750803E+01   0.156485E-01   0.123472E-01   0.114803E-01
   224   0.748669E+01   0.156170E-01   0.123941E-01   0.522807E-02
   225   0.746172E+01   0.155992E-01   0.124433E-01  -0.100967E-02
   226   0.743320E+01   0.155946E-01   0.124945E-01  -0.722221E-02
   227   0.740120E+01   0.156028E-01   0.125474E-01  -0.133989E-01
   228   0.736582E+01   0.156232E-01   0.126018E-01  -0.195290E-01
   229   0.732713E+01   0.156553E-01   0.126574E-01  -0.256018E-01
   230   0.728523E+01   0.156988E-01   0.127140E-01  -0.316067E-01
   231   0.724019E+01   0.157531E-01   0.127712E-01  -0.375331E-01
   232   0.719209E+01   0.158177E-01   0.128289E-01  -0.433701E-01
