#    L    TT             EE             BB             TE         
   130    3.70258E+03    1.09036E+00    1.37091E-03   -4.09657E+01
   131    3.73719E+03    1.09485E+00    1.34839E-03   -4.13979E+01
   132    3.77178E+03    1.09886E+00    1.32582E-03   -4.18140E+01
   133    3.80634E+03    1.10239E+00    1.30322E-03   -4.22136E+01
   134    3.84087E+03    1.10544E+00    1.28062E-03   -4.25961E+01
   135    3.87536E+03    1.10799E+00    1.25802E-03   -4.29612E+01
   136    3.90980E+03    1.11005E+00    1.23545E-03   -4.33084E+01
   137    3.94419E+03    1.11162E+00    1.21292E-03   -4.36371E+01
   138    3.97851E+03    1.11270E+00    1.19046E-03   -4.39469E+01
   139    4.01276E+03    1.11328E+00    1.16807E-03   -4.42376E+01
   140    4.04694E+03    1.11337E+00    1.14578E-03   -4.45086E+01
   141    4.08103E+03    1.11297E+00    1.12361E-03   -4.47596E+01
   142    4.11502E+03    1.11208E+00    1.10157E-03   -4.49901E+01
   143    4.14893E+03    1.11071E+00    1.07967E-03   -4.51998E+01
   144    4.18271E+03    1.10885E+00    1.05795E-03   -4.53883E+01
   145    4.21639E+03    1.10651E+00    1.03641E-03   -4.55551E+01
   146    4.24992E+03    1.10370E+00    1.01507E-03   -4.56999E+01
   147    4.28330E+03    1.10042E+00    9.93955E-04   -4.58223E+01
   148    4.31652E+03    1.09668E+00    9.73077E-04   -4.59218E+01
   149    4.34957E+03    1.09249E+00    9.52454E-04   -4.59981E+01
   150    4.38243E+03    1.08785E+00    9.32104E-04   -4.60508E+01
   151    4.41508E+03    1.08277E+00    9.12044E-04   -4.60796E+01
   152    4.44752E+03    1.07725E+00    8.92281E-04   -4.60842E+01
   153    4.47975E+03    1.07132E+00    8.72821E-04   -4.60642E+01
   154    4.51176E+03    1.06499E+00    8.53670E-04   -4.60196E+01
   155    4.54355E+03    1.05825E+00    8.34834E-04   -4.59499E+01
   156    4.57512E+03    1.05113E+00    8.16319E-04   -4.58551E+01
   157    4.60644E+03    1.04364E+00    7.98130E-04   -4.57348E+01
