#    L    TT             EE             BB             TE         
   173    5.06907E+03    8.98692E-01    5.93483E-03   -4.01745E+01
   174    5.09492E+03    8.87242E-01    5.80974E-03   -3.95929E+01
   175    5.12036E+03    8.75787E-01    5.68928E-03   -3.89841E+01
   176    5.14540E+03    8.64341E-01    5.57349E-03   -3.83480E+01
   177    5.17002E+03    8.52942E-01    5.46230E-03   -3.76845E+01
   178    5.19420E+03    8.41612E-01    5.35564E-03   -3.69939E+01
   179    5.21795E+03    8.30374E-01    5.25343E-03   -3.62759E+01
   180    5.24126E+03    8.19266E-01    5.15559E-03   -3.55309E+01
   181    5.26412E+03    8.08318E-01    5.06204E-03   -3.47589E+01
   182    5.28652E+03    7.97559E-01    4.97270E-03   -3.39600E+01
   183    5.30845E+03    7.87012E-01    4.88750E-03   -3.31343E+01
   184    5.32991E+03    7.76715E-01    4.80634E-03   -3.22821E+01
   185    5.35089E+03    7.66705E-01    4.72917E-03   -3.14032E+01
   186    5.37138E+03    7.57004E-01    4.65588E-03   -3.04981E+01
   187    5.39137E+03    7.47645E-01    4.58641E-03   -2.95668E+01
   188    5.41086E+03    7.38666E-01    4.52068E-03   -2.86096E+01
   189    5.42984E+03    7.30100E-01    4.45861E-03   -2.76266E+01
   190    5.44830E+03    7.21981E-01    4.40011E-03   -2.66182E+01
   191    5.46624E+03    7.14341E-01    4.34511E-03   -2.55845E+01
   192    5.48364E+03    7.07215E-01    4.29354E-03   -2.45258E+01
   193    5.50050E+03    7.00638E-01    4.24530E-03   -2.34422E+01
   194    5.51682E+03    6.94645E-01    4.20032E-03   -2.23342E+01
   195    5.53259E+03    6.89272E-01    4.15852E-03   -2.12020E+01
   196    5.54780E+03    6.84556E-01    4.11983E-03   -2.00461E+01
   197    5.56246E+03    6.80533E-01    4.08416E-03   -1.88667E+01
   198    5.57657E+03    6.77240E-01    4.05143E-03   -1.76643E+01
   199    5.59011E+03    6.74713E-01    4.02157E-03   -1.64390E+01
   200    5.60309E+03    6.72987E-01    3.99450E-03   -1.51915E+01
   201    5.61549E+03    6.72101E-01    3.97013E-03   -1.39219E+01
   202    5.62731E+03    6.72090E-01    3.94838E-03   -1.26308E+01
   203    5.63852E+03    6.72992E-01    3.92917E-03   -1.13184E+01
   204    5.64914E+03    6.74842E-01    3.91243E-03   -9.98534E+00
   205    5.65913E+03    6.77678E-01    3.89805E-03   -8.63196E+00
   206    5.66849E+03    6.81534E-01    3.88597E-03   -7.25865E+00
   207    5.67723E+03    6.86449E-01    3.87610E-03   -5.86580E+00
   208    5.68532E+03    6.92459E-01    3.86836E-03   -4.45400E+00
   209    5.69280E+03    6.99599E-01    3.86266E-03   -3.02379E+00
   210    5.69964E+03    7.07907E-01    3.85892E-03   -1.57573E+00
   211    5.70587E+03    7.17420E-01    3.85705E-03   -1.10355E-01
   212    5.71149E+03    7.28173E-01    3.85699E-03    1.37177E+00
   213    5.71651E+03    7.40203E-01    3.85864E-03    2.87009E+00
   214    5.72092E+03    7.53547E-01    3.86191E-03    4.38405E+00
   215    5.72473E+03    7.68236E-01    3.86674E-03    5.91306E+00
   216    5.72793E+03    7.84313E-01    3.87303E-03    7.45654E+00
   217    5.73052E+03    8.01808E-01    3.88070E-03    9.01386E+00
   218    5.73249E+03    8.20752E-01    3.88967E-03    1.05845E+01
   219    5.73383E+03    8.41188E-01    3.89985E-03    1.21679E+01
   220    5.73455E+03    8.63145E-01    3.91117E-03    1.37633E+01
