#    L    TT             EE             BB             TE         
   141    4.08058E+03    1.11065E+00    0.00000E+00   -4.47378E+01
   142    4.11460E+03    1.10979E+00    0.00000E+00   -4.49694E+01
   143    4.14852E+03    1.10844E+00    0.00000E+00   -4.51802E+01
   144    4.18233E+03    1.10662E+00    0.00000E+00   -4.53698E+01
   145    4.21603E+03    1.10431E+00    0.00000E+00   -4.55376E+01
   146    4.24958E+03    1.10153E+00    0.00000E+00   -4.56835E+01
   147    4.28298E+03    1.09829E+00    0.00000E+00   -4.58068E+01
   148    4.31622E+03    1.09458E+00    0.00000E+00   -4.59074E+01
   149    4.34929E+03    1.09042E+00    0.00000E+00   -4.59847E+01
   150    4.38216E+03    1.08581E+00    0.00000E+00   -4.60383E+01
   151    4.41483E+03    1.08077E+00    0.00000E+00   -4.60680E+01
   152    4.44728E+03    1.07529E+00    0.00000E+00   -4.60734E+01
   153    4.47953E+03    1.06939E+00    0.00000E+00   -4.60543E+01
   154    4.51155E+03    1.06309E+00    0.00000E+00   -4.60106E+01
   155    4.54334E+03    1.05639E+00    0.00000E+00   -4.59417E+01
   156    4.57492E+03    1.04930E+00    0.00000E+00   -4.58477E+01
   157    4.60626E+03    1.04184E+00    0.00000E+00   -4.57281E+01
   158    4.63736E+03    1.03403E+00    0.00000E+00   -4.55828E+01
   159    4.66821E+03    1.02586E+00    0.00000E+00   -4.54116E+01
   160    4.69881E+03    1.01737E+00    0.00000E+00   -4.52143E+01
   161    4.72913E+03    1.00856E+00    0.00000E+00   -4.49906E+01
   162    4.75916E+03    9.99453E-01    0.00000E+00   -4.47404E+01
   163    4.78890E+03    9.90077E-01    0.00000E+00   -4.44634E+01
   164    4.81832E+03    9.80431E-01    0.00000E+00   -4.41596E+01
   165    4.84742E+03    9.70538E-01    0.00000E+00   -4.38286E+01
   166    4.87620E+03    9.60420E-01    0.00000E+00   -4.34705E+01
   167    4.90463E+03    9.50100E-01    0.00000E+00   -4.30850E+01
   168    4.93272E+03    9.39598E-01    0.00000E+00   -4.26722E+01
   169    4.96045E+03    9.28938E-01    0.00000E+00   -4.22320E+01
   170    4.98783E+03    9.18135E-01    0.00000E+00   -4.17643E+01
   171    5.01482E+03    9.07218E-01    0.00000E+00   -4.12690E+01
   172    5.04145E+03    8.96209E-01    0.00000E+00   -4.07462E+01
   173    5.06768E+03    8.85131E-01    0.00000E+00   -4.01957E+01
   174    5.09352E+03    8.74005E-01    0.00000E+00   -3.96176E+01
   175    5.11896E+03    8.62869E-01    0.00000E+00   -3.90120E+01
   176    5.14398E+03    8.51738E-01    0.00000E+00   -3.83789E+01
   177    5.16858E+03    8.40649E-01    0.00000E+00   -3.77182E+01
   178    5.19274E+03    8.29625E-01    0.00000E+00   -3.70300E+01
   179    5.21647E+03    8.18687E-01    0.00000E+00   -3.63143E+01
   180    5.23976E+03    8.07874E-01    0.00000E+00   -3.55712E+01
   181    5.26258E+03    7.97215E-01    0.00000E+00   -3.48010E+01
   182    5.28495E+03    7.86739E-01    0.00000E+00   -3.40037E+01
   183    5.30686E+03    7.76471E-01    0.00000E+00   -3.31794E+01
   184    5.32828E+03    7.66446E-01    0.00000E+00   -3.23283E+01
   185    5.34923E+03    7.56703E-01    0.00000E+00   -3.14504E+01
   186    5.36968E+03    7.47263E-01    0.00000E+00   -3.05461E+01
   187    5.38964E+03    7.38158E-01    0.00000E+00   -2.96154E+01
   188    5.40910E+03    7.29427E-01    0.00000E+00   -2.86586E+01
   189    5.42804E+03    7.21102E-01    0.00000E+00   -2.76758E+01
   190    5.44646E+03    7.13218E-01    0.00000E+00   -2.66675E+01
   191    5.46437E+03    7.05807E-01    0.00000E+00   -2.56338E+01
   192    5.48173E+03    6.98903E-01    0.00000E+00   -2.45748E+01
   193    5.49855E+03    6.92540E-01    0.00000E+00   -2.34909E+01
   194    5.51484E+03    6.86754E-01    0.00000E+00   -2.23824E+01
   195    5.53057E+03    6.81582E-01    0.00000E+00   -2.12496E+01
   196    5.54575E+03    6.77058E-01    0.00000E+00   -2.00930E+01
   197    5.56038E+03    6.73220E-01    0.00000E+00   -1.89128E+01
   198    5.57446E+03    6.70104E-01    0.00000E+00   -1.77095E+01
   199    5.58796E+03    6.67746E-01    0.00000E+00   -1.64832E+01
   200    5.60091E+03    6.66182E-01    0.00000E+00   -1.52346E+01
   201    5.61328E+03    6.65450E-01    0.00000E+00   -1.39638E+01
   202    5.62508E+03    6.65585E-01    0.00000E+00   -1.26715E+01
   203    5.63627E+03    6.66624E-01    0.00000E+00   -1.13578E+01
   204    5.64686E+03    6.68605E-01    0.00000E+00   -1.00234E+01
   205    5.65683E+03    6.71563E-01    0.00000E+00   -8.66854E+00
   206    5.66618E+03    6.75535E-01    0.00000E+00   -7.29374E+00
   207    5.67490E+03    6.80558E-01    0.00000E+00   -5.89933E+00
   208    5.68297E+03    6.86669E-01    0.00000E+00   -4.48592E+00
   209    5.69043E+03    6.93904E-01    0.00000E+00   -3.05405E+00
   210    5.69727E+03    7.02299E-01    0.00000E+00   -1.60428E+00
   211    5.70349E+03    7.11894E-01    0.00000E+00   -1.37156E-01
   212    5.70910E+03    7.22721E-01    0.00000E+00    1.34676E+00
   213    5.71410E+03    7.34820E-01    0.00000E+00    2.84690E+00
   214    5.71851E+03    7.48226E-01    0.00000E+00    4.36272E+00
   215    5.72232E+03    7.62971E-01    0.00000E+00    5.89363E+00
   216    5.72552E+03    7.79099E-01    0.00000E+00    7.43902E+00
   217    5.72810E+03    7.96639E-01    0.00000E+00    8.99828E+00
   218    5.73007E+03    8.15623E-01    0.00000E+00    1.05709E+01
   219    5.73141E+03    8.36093E-01    0.00000E+00    1.21562E+01
