#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  1370   0.773504E+03  -0.682895E+02   0.228070E-05  -0.682895E+02   0.234007E+02  -0.270975E-06   0.228070E-05  -0.270975E-06   0.301925E-08
  1371   0.775430E+03  -0.682920E+02   0.228308E-05  -0.682920E+02   0.231856E+02  -0.268857E-06   0.228308E-05  -0.268857E-06   0.301478E-08
  1372   0.777357E+03  -0.682785E+02   0.228533E-05  -0.682785E+02   0.229697E+02  -0.266717E-06   0.228533E-05  -0.266717E-06   0.301031E-08
  1373   0.779284E+03  -0.682490E+02   0.228744E-05  -0.682490E+02   0.227538E+02  -0.264558E-06   0.228744E-05  -0.264558E-06   0.300586E-08
  1374   0.781212E+03  -0.682027E+02   0.228942E-05  -0.682027E+02   0.225372E+02  -0.262378E-06   0.228942E-05  -0.262378E-06   0.300141E-08
  1375   0.783139E+03  -0.681412E+02   0.229128E-05  -0.681412E+02   0.223197E+02  -0.260179E-06   0.229128E-05  -0.260179E-06   0.299697E-08
  1376   0.785067E+03  -0.680629E+02   0.229300E-05  -0.680629E+02   0.221023E+02  -0.257960E-06   0.229300E-05  -0.257960E-06   0.299254E-08
  1377   0.786995E+03  -0.679693E+02   0.229459E-05  -0.679693E+02   0.218856E+02  -0.255722E-06   0.229459E-05  -0.255722E-06   0.298812E-08
  1378   0.788924E+03  -0.678597E+02   0.229606E-05  -0.678597E+02   0.216666E+02  -0.253465E-06   0.229606E-05  -0.253465E-06   0.298371E-08
  1379   0.790778E+03  -0.677341E+02   0.229739E-05  -0.677341E+02   0.214499E+02  -0.251190E-06   0.229739E-05  -0.251190E-06   0.297930E-08
  1380   0.792632E+03  -0.675933E+02   0.229859E-05  -0.675933E+02   0.212309E+02  -0.248897E-06   0.229859E-05  -0.248897E-06   0.297491E-08
  1381   0.794486E+03  -0.674356E+02   0.229966E-05  -0.674356E+02   0.210134E+02  -0.246585E-06   0.229966E-05  -0.246585E-06   0.297052E-08
  1382   0.796192E+03  -0.672620E+02   0.230061E-05  -0.672620E+02   0.207959E+02  -0.244257E-06   0.230061E-05  -0.244257E-06   0.296614E-08
  1383   0.798046E+03  -0.670738E+02   0.230142E-05  -0.670738E+02   0.205784E+02  -0.241911E-06   0.230142E-05  -0.241911E-06   0.296177E-08
  1384   0.799752E+03  -0.668696E+02   0.230210E-05  -0.668696E+02   0.203616E+02  -0.239548E-06   0.230210E-05  -0.239548E-06   0.295741E-08
  1385   0.801457E+03  -0.666501E+02   0.230266E-05  -0.666501E+02   0.201448E+02  -0.237168E-06   0.230266E-05  -0.237168E-06   0.295306E-08
  1386   0.803162E+03  -0.664154E+02   0.230308E-05  -0.664154E+02   0.199288E+02  -0.234772E-06   0.230308E-05  -0.234772E-06   0.294872E-08
  1387   0.804793E+03  -0.661653E+02   0.230338E-05  -0.661653E+02   0.197135E+02  -0.232361E-06   0.230338E-05  -0.232361E-06   0.294438E-08
  1388   0.806572E+03  -0.659008E+02   0.230354E-05  -0.659008E+02   0.194982E+02  -0.229933E-06   0.230354E-05  -0.229933E-06   0.294005E-08
  1389   0.808202E+03  -0.656202E+02   0.230358E-05  -0.656202E+02   0.192837E+02  -0.227490E-06   0.230358E-05  -0.227490E-06   0.293573E-08
  1390   0.809757E+03  -0.653265E+02   0.230349E-05  -0.653265E+02   0.190706E+02  -0.225032E-06   0.230349E-05  -0.225032E-06   0.293142E-08
  1391   0.811386E+03  -0.650176E+02   0.230327E-05  -0.650176E+02   0.188583E+02  -0.222560E-06   0.230327E-05  -0.222560E-06   0.292712E-08
  1392   0.812941E+03  -0.646942E+02   0.230292E-05  -0.646942E+02   0.186468E+02  -0.220073E-06   0.230292E-05  -0.220073E-06   0.292283E-08
  1393   0.814495E+03  -0.643562E+02   0.230244E-05  -0.643562E+02   0.184368E+02  -0.217572E-06   0.230244E-05  -0.217572E-06   0.291854E-08
  1394   0.815974E+03  -0.640051E+02   0.230183E-05  -0.640051E+02   0.182275E+02  -0.215057E-06   0.230183E-05  -0.215057E-06   0.291427E-08
  1395   0.817452E+03  -0.636388E+02   0.230110E-05  -0.636388E+02   0.180190E+02  -0.212529E-06   0.230110E-05  -0.212529E-06   0.291000E-08
  1396   0.818930E+03  -0.632601E+02   0.230024E-05  -0.632601E+02   0.178128E+02  -0.209987E-06   0.230024E-05  -0.209987E-06   0.290574E-08
  1397   0.820333E+03  -0.628669E+02   0.229925E-05  -0.628669E+02   0.176073E+02  -0.207433E-06   0.229925E-05  -0.207433E-06   0.290148E-08
  1398   0.821662E+03  -0.624599E+02   0.229813E-05  -0.624599E+02   0.174026E+02  -0.204866E-06   0.229813E-05  -0.204866E-06   0.289724E-08
  1399   0.822989E+03  -0.620399E+02   0.229688E-05  -0.620399E+02   0.172009E+02  -0.202287E-06   0.229688E-05  -0.202287E-06   0.289300E-08
  1400   0.824315E+03  -0.616068E+02   0.229551E-05  -0.616068E+02   0.169999E+02  -0.199696E-06   0.229551E-05  -0.199696E-06   0.288878E-08
  1401   0.825567E+03  -0.611606E+02   0.229401E-05  -0.611606E+02   0.167998E+02  -0.197093E-06   0.229401E-05  -0.197093E-06   0.288456E-08
  1402   0.826817E+03  -0.607021E+02   0.229238E-05  -0.607021E+02   0.166026E+02  -0.194479E-06   0.229238E-05  -0.194479E-06   0.288034E-08
  1403   0.827993E+03  -0.602306E+02   0.229062E-05  -0.602306E+02   0.164070E+02  -0.191855E-06   0.229062E-05  -0.191855E-06   0.287614E-08
  1404   0.829093E+03  -0.597468E+02   0.228874E-05  -0.597468E+02   0.162136E+02  -0.189219E-06   0.228874E-05  -0.189219E-06   0.287194E-08
  1405   0.830266E+03  -0.592507E+02   0.228674E-05  -0.592507E+02   0.160210E+02  -0.186574E-06   0.228674E-05  -0.186574E-06   0.286776E-08
  1406   0.831290E+03  -0.587437E+02   0.228461E-05  -0.587437E+02   0.158314E+02  -0.183918E-06   0.228461E-05  -0.183918E-06   0.286358E-08
  1407   0.832239E+03  -0.582246E+02   0.228236E-05  -0.582246E+02   0.156433E+02  -0.181253E-06   0.228236E-05  -0.181253E-06   0.285941E-08
  1408   0.833335E+03  -0.576939E+02   0.227999E-05  -0.576939E+02   0.154568E+02  -0.178579E-06   0.227999E-05  -0.178579E-06   0.285524E-08
  1409   0.834208E+03  -0.571516E+02   0.227750E-05  -0.571516E+02   0.152733E+02  -0.175895E-06   0.227750E-05  -0.175895E-06   0.285109E-08
  1410   0.835154E+03  -0.565994E+02   0.227489E-05  -0.565994E+02   0.150913E+02  -0.173204E-06   0.227489E-05  -0.173204E-06   0.284694E-08
  1411   0.836024E+03  -0.560356E+02   0.227215E-05  -0.560356E+02   0.149116E+02  -0.170504E-06   0.227215E-05  -0.170504E-06   0.284280E-08
  1412   0.836819E+03  -0.554611E+02   0.226930E-05  -0.554611E+02   0.147349E+02  -0.167796E-06   0.226930E-05  -0.167796E-06   0.283867E-08
  1413   0.837465E+03  -0.548765E+02   0.226633E-05  -0.548765E+02   0.145605E+02  -0.165080E-06   0.226633E-05  -0.165080E-06   0.283454E-08
  1414   0.838184E+03  -0.542813E+02   0.226324E-05  -0.542813E+02   0.143883E+02  -0.162357E-06   0.226324E-05  -0.162357E-06   0.283043E-08
  1415   0.838827E+03  -0.536767E+02   0.226004E-05  -0.536767E+02   0.142184E+02  -0.159628E-06   0.226004E-05  -0.159628E-06   0.282632E-08
  1416   0.839469E+03  -0.530630E+02   0.225672E-05  -0.530630E+02   0.140516E+02  -0.156891E-06   0.225672E-05  -0.156891E-06   0.282222E-08
  1417   0.839962E+03  -0.524407E+02   0.225329E-05  -0.524407E+02   0.138863E+02  -0.154149E-06   0.225329E-05  -0.154149E-06   0.281813E-08
  1418   0.840453E+03  -0.518077E+02   0.224974E-05  -0.518077E+02   0.137240E+02  -0.151400E-06   0.224974E-05  -0.151400E-06   0.281404E-08
  1419   0.840869E+03  -0.511670E+02   0.224608E-05  -0.511670E+02   0.135647E+02  -0.148646E-06   0.224608E-05  -0.148646E-06   0.280996E-08
  1420   0.841283E+03  -0.505178E+02   0.224231E-05  -0.505178E+02   0.134085E+02  -0.145887E-06   0.224231E-05  -0.145887E-06   0.280589E-08
  1421   0.841623E+03  -0.498601E+02   0.223842E-05  -0.498601E+02   0.132546E+02  -0.143123E-06   0.223842E-05  -0.143123E-06   0.280183E-08
  1422   0.841960E+03  -0.491947E+02   0.223443E-05  -0.491947E+02   0.131036E+02  -0.140355E-06   0.223443E-05  -0.140355E-06   0.279778E-08
  1423   0.842148E+03  -0.485216E+02   0.223032E-05  -0.485216E+02   0.129558E+02  -0.137582E-06   0.223032E-05  -0.137582E-06   0.279373E-08
  1424   0.842410E+03  -0.478408E+02   0.222611E-05  -0.478408E+02   0.128109E+02  -0.134805E-06   0.222611E-05  -0.134805E-06   0.278969E-08
  1425   0.842521E+03  -0.471531E+02   0.222179E-05  -0.471531E+02   0.126691E+02  -0.132025E-06   0.222179E-05  -0.132025E-06   0.278566E-08
  1426   0.842556E+03  -0.464584E+02   0.221736E-05  -0.464584E+02   0.125303E+02  -0.129241E-06   0.221736E-05  -0.129241E-06   0.278164E-08
  1427   0.842665E+03  -0.457567E+02   0.221282E-05  -0.457567E+02   0.123946E+02  -0.126455E-06   0.221282E-05  -0.126455E-06   0.277762E-08
  1428   0.842623E+03  -0.450496E+02   0.220818E-05  -0.450496E+02   0.122611E+02  -0.123666E-06   0.220818E-05  -0.123666E-06   0.277361E-08
  1429   0.842506E+03  -0.443349E+02   0.220343E-05  -0.443349E+02   0.121322E+02  -0.120874E-06   0.220343E-05  -0.120874E-06   0.276961E-08
  1430   0.842388E+03  -0.436161E+02   0.219858E-05  -0.436161E+02   0.120055E+02  -0.118081E-06   0.219858E-05  -0.118081E-06   0.276562E-08
  1431   0.842193E+03  -0.428905E+02   0.219362E-05  -0.428905E+02   0.118819E+02  -0.115287E-06   0.219362E-05  -0.115287E-06   0.276163E-08
  1432   0.841924E+03  -0.421602E+02   0.218856E-05  -0.421602E+02   0.117621E+02  -0.112491E-06   0.218856E-05  -0.112491E-06   0.275766E-08
  1433   0.841726E+03  -0.414245E+02   0.218340E-05  -0.414245E+02   0.116454E+02  -0.109694E-06   0.218340E-05  -0.109694E-06   0.275369E-08
  1434   0.841379E+03  -0.406841E+02   0.217814E-05  -0.406841E+02   0.115324E+02  -0.106897E-06   0.217814E-05  -0.106897E-06   0.274972E-08
  1435   0.840956E+03  -0.399397E+02   0.217278E-05  -0.399397E+02   0.114217E+02  -0.104099E-06   0.217278E-05  -0.104099E-06   0.274577E-08
  1436   0.840532E+03  -0.391922E+02   0.216732E-05  -0.391922E+02   0.113149E+02  -0.101302E-06   0.216732E-05  -0.101302E-06   0.274182E-08
  1437   0.839957E+03  -0.384394E+02   0.216176E-05  -0.384394E+02   0.112118E+02  -0.985051E-07   0.216176E-05  -0.985051E-07   0.273788E-08
  1438   0.839381E+03  -0.376848E+02   0.215610E-05  -0.376848E+02   0.111110E+02  -0.957090E-07   0.215610E-05  -0.957090E-07   0.273394E-08
  1439   0.838729E+03  -0.369249E+02   0.215034E-05  -0.369249E+02   0.110147E+02  -0.929140E-07   0.215034E-05  -0.929140E-07   0.273002E-08
  1440   0.838075E+03  -0.361633E+02   0.214449E-05  -0.361633E+02   0.109215E+02  -0.901205E-07   0.214449E-05  -0.901205E-07   0.272610E-08
  1441   0.837346E+03  -0.354001E+02   0.213854E-05  -0.354001E+02   0.108314E+02  -0.873288E-07   0.213854E-05  -0.873288E-07   0.272219E-08
  1442   0.836541E+03  -0.346338E+02   0.213250E-05  -0.346338E+02   0.107451E+02  -0.845392E-07   0.213250E-05  -0.845392E-07   0.271828E-08
  1443   0.835659E+03  -0.338643E+02   0.212636E-05  -0.338643E+02   0.106633E+02  -0.817521E-07   0.212636E-05  -0.817521E-07   0.271438E-08
  1444   0.834776E+03  -0.330939E+02   0.212014E-05  -0.330939E+02   0.105838E+02  -0.789677E-07   0.212014E-05  -0.789677E-07   0.271049E-08
  1445   0.833743E+03  -0.323227E+02   0.211381E-05  -0.323227E+02   0.105088E+02  -0.761866E-07   0.211381E-05  -0.761866E-07   0.270661E-08
  1446   0.832782E+03  -0.315491E+02   0.210740E-05  -0.315491E+02   0.104362E+02  -0.734089E-07   0.210740E-05  -0.734089E-07   0.270274E-08
  1447   0.831597E+03  -0.307731E+02   0.210090E-05  -0.307731E+02   0.103681E+02  -0.706350E-07   0.210090E-05  -0.706350E-07   0.269887E-08
  1448   0.830484E+03  -0.299993E+02   0.209430E-05  -0.299993E+02   0.103038E+02  -0.678652E-07   0.209430E-05  -0.678652E-07   0.269501E-08
  1449   0.829295E+03  -0.292239E+02   0.208762E-05  -0.292239E+02   0.102419E+02  -0.650999E-07   0.208762E-05  -0.650999E-07   0.269115E-08
  1450   0.828030E+03  -0.284484E+02   0.208085E-05  -0.284484E+02   0.101845E+02  -0.623395E-07   0.208085E-05  -0.623395E-07   0.268731E-08
  1451   0.826764E+03  -0.276742E+02   0.207399E-05  -0.276742E+02   0.101309E+02  -0.595841E-07   0.207399E-05  -0.595841E-07   0.268347E-08
  1452   0.825347E+03  -0.269015E+02   0.206705E-05  -0.269015E+02   0.100804E+02  -0.568342E-07   0.206705E-05  -0.568342E-07   0.267963E-08
  1453   0.823928E+03  -0.261279E+02   0.206002E-05  -0.261279E+02   0.100336E+02  -0.540898E-07   0.206002E-05  -0.540898E-07   0.267581E-08
  1454   0.822507E+03  -0.253550E+02   0.205290E-05  -0.253550E+02   0.999072E+01  -0.513514E-07   0.205290E-05  -0.513514E-07   0.267199E-08
  1455   0.821010E+03  -0.245843E+02   0.204570E-05  -0.245843E+02   0.995087E+01  -0.486190E-07   0.204570E-05  -0.486190E-07   0.266818E-08
  1456   0.819438E+03  -0.238165E+02   0.203842E-05  -0.238165E+02   0.991557E+01  -0.458930E-07   0.203842E-05  -0.458930E-07   0.266437E-08
  1457   0.817715E+03  -0.230493E+02   0.203106E-05  -0.230493E+02   0.988259E+01  -0.431736E-07   0.203106E-05  -0.431736E-07   0.266058E-08
  1458   0.816064E+03  -0.222844E+02   0.202362E-05  -0.222844E+02   0.985416E+01  -0.404610E-07   0.202362E-05  -0.404610E-07   0.265678E-08
  1459   0.814338E+03  -0.215209E+02   0.201610E-05  -0.215209E+02   0.982879E+01  -0.377555E-07   0.201610E-05  -0.377555E-07   0.265300E-08
  1460   0.812535E+03  -0.207611E+02   0.200850E-05  -0.207611E+02   0.980796E+01  -0.350573E-07   0.200850E-05  -0.350573E-07   0.264922E-08
  1461   0.810731E+03  -0.200050E+02   0.200083E-05  -0.200050E+02   0.978872E+01  -0.323667E-07   0.200083E-05  -0.323667E-07   0.264546E-08
  1462   0.808851E+03  -0.192519E+02   0.199307E-05  -0.192519E+02   0.977401E+01  -0.296838E-07   0.199307E-05  -0.296838E-07   0.264169E-08
  1463   0.806820E+03  -0.185017E+02   0.198525E-05  -0.185017E+02   0.976311E+01  -0.270090E-07   0.198525E-05  -0.270090E-07   0.263794E-08
  1464   0.804863E+03  -0.177553E+02   0.197735E-05  -0.177553E+02   0.975527E+01  -0.243425E-07   0.197735E-05  -0.243425E-07   0.263419E-08
  1465   0.802755E+03  -0.170133E+02   0.196938E-05  -0.170133E+02   0.975124E+01  -0.216844E-07   0.196938E-05  -0.216844E-07   0.263045E-08
  1466   0.800719E+03  -0.162751E+02   0.196133E-05  -0.162751E+02   0.975100E+01  -0.190352E-07   0.196133E-05  -0.190352E-07   0.262671E-08
  1467   0.798534E+03  -0.155420E+02   0.195322E-05  -0.155420E+02   0.975382E+01  -0.163949E-07   0.195322E-05  -0.163949E-07   0.262298E-08
  1468   0.796347E+03  -0.148135E+02   0.194503E-05  -0.148135E+02   0.976044E+01  -0.137639E-07   0.194503E-05  -0.137639E-07   0.261926E-08
  1469   0.794158E+03  -0.140903E+02   0.193678E-05  -0.140903E+02   0.977012E+01  -0.111423E-07   0.193678E-05  -0.111423E-07   0.261555E-08
  1470   0.791745E+03  -0.133715E+02   0.192846E-05  -0.133715E+02   0.978286E+01  -0.853048E-08   0.192846E-05  -0.853048E-08   0.261184E-08
  1471   0.789478E+03  -0.126595E+02   0.192007E-05  -0.126595E+02   0.980014E+01  -0.592861E-08   0.192007E-05  -0.592861E-08   0.260814E-08
  1472   0.787136E+03  -0.119527E+02   0.191162E-05  -0.119527E+02   0.982047E+01  -0.333693E-08   0.191162E-05  -0.333693E-08   0.260444E-08
  1473   0.784718E+03  -0.112527E+02   0.190311E-05  -0.112527E+02   0.984386E+01  -0.755706E-09   0.190311E-05  -0.755706E-09   0.260076E-08
  1474   0.782150E+03  -0.105580E+02   0.189453E-05  -0.105580E+02   0.987030E+01   0.181484E-08   0.189453E-05   0.181484E-08   0.259708E-08
  1475   0.779655E+03  -0.987011E+01   0.188589E-05  -0.987011E+01   0.989979E+01   0.437446E-08   0.188589E-05   0.437446E-08   0.259340E-08
  1476   0.777084E+03  -0.918971E+01   0.187719E-05  -0.918971E+01   0.993309E+01   0.692292E-08   0.187719E-05   0.692292E-08   0.258973E-08
  1477   0.774511E+03  -0.851536E+01   0.186843E-05  -0.851536E+01   0.996943E+01   0.945997E-08   0.186843E-05   0.945997E-08   0.258607E-08
  1478   0.771863E+03  -0.784856E+01   0.185961E-05  -0.784856E+01   0.100088E+02   0.119854E-07   0.185961E-05   0.119854E-07   0.258242E-08
  1479   0.769213E+03  -0.718953E+01   0.185073E-05  -0.718953E+01   0.100520E+02   0.144989E-07   0.185073E-05   0.144989E-07   0.257877E-08
  1480   0.766487E+03  -0.653783E+01   0.184179E-05  -0.653783E+01   0.100983E+02   0.170003E-07   0.184179E-05   0.170003E-07   0.257513E-08
  1481   0.763693E+03  -0.589393E+01   0.183280E-05  -0.589393E+01   0.101468E+02   0.194893E-07   0.183280E-05   0.194893E-07   0.257150E-08
  1482   0.760905E+03  -0.525805E+01   0.182376E-05  -0.525805E+01   0.101992E+02   0.219657E-07   0.182376E-05   0.219657E-07   0.256787E-08
  1483   0.758056E+03  -0.463049E+01   0.181466E-05  -0.463049E+01   0.102546E+02   0.244293E-07   0.181466E-05   0.244293E-07   0.256425E-08
  1484   0.755198E+03  -0.401134E+01   0.180551E-05  -0.401134E+01   0.103123E+02   0.268797E-07   0.180551E-05   0.268797E-07   0.256063E-08
  1485   0.752279E+03  -0.340090E+01   0.179631E-05  -0.340090E+01   0.103730E+02   0.293169E-07   0.179631E-05   0.293169E-07   0.255703E-08
  1486   0.749322E+03  -0.279911E+01   0.178705E-05  -0.279911E+01   0.104376E+02   0.317405E-07   0.178705E-05   0.317405E-07   0.255343E-08
  1487   0.746326E+03  -0.220642E+01   0.177775E-05  -0.220642E+01   0.105037E+02   0.341502E-07   0.177775E-05   0.341502E-07   0.254983E-08
  1488   0.743314E+03  -0.162284E+01   0.176840E-05  -0.162284E+01   0.105736E+02   0.365459E-07   0.176840E-05   0.365459E-07   0.254624E-08
  1489   0.740242E+03  -0.104874E+01   0.175900E-05  -0.104874E+01   0.106465E+02   0.389273E-07   0.175900E-05   0.389273E-07   0.254266E-08
  1490   0.737145E+03  -0.484108E+00   0.174956E-05  -0.484108E+00   0.107210E+02   0.412942E-07   0.174956E-05   0.412942E-07   0.253909E-08
  1491   0.734017E+03   0.707180E-01   0.174007E-05   0.707180E-01   0.107986E+02   0.436463E-07   0.174007E-05   0.436463E-07   0.253552E-08
  1492   0.730866E+03   0.615714E+00   0.173054E-05   0.615714E+00   0.108792E+02   0.459833E-07   0.173054E-05   0.459833E-07   0.253196E-08
  1493   0.727677E+03   0.115062E+01   0.172096E-05   0.115062E+01   0.109613E+02   0.483052E-07   0.172096E-05   0.483052E-07   0.252840E-08
  1494   0.724456E+03   0.167531E+01   0.171135E-05   0.167531E+01   0.110465E+02   0.506115E-07   0.171135E-05   0.506115E-07   0.252485E-08
  1495   0.721212E+03   0.218965E+01   0.170169E-05   0.218965E+01   0.111348E+02   0.529021E-07   0.170169E-05   0.529021E-07   0.252131E-08
  1496   0.717936E+03   0.269355E+01   0.169199E-05   0.269355E+01   0.112253E+02   0.551766E-07   0.169199E-05   0.551766E-07   0.251777E-08
  1497   0.714630E+03   0.318680E+01   0.168225E-05   0.318680E+01   0.113174E+02   0.574350E-07   0.168225E-05   0.574350E-07   0.251424E-08
  1498   0.711307E+03   0.366922E+01   0.167248E-05   0.366922E+01   0.114126E+02   0.596769E-07   0.167248E-05   0.596769E-07   0.251072E-08
  1499   0.707954E+03   0.414081E+01   0.166267E-05   0.414081E+01   0.115093E+02   0.619021E-07   0.166267E-05   0.619021E-07   0.250720E-08
  1500   0.704577E+03   0.460135E+01   0.165282E-05   0.460135E+01   0.116090E+02   0.641104E-07   0.165282E-05   0.641104E-07   0.250369E-08
  1501   0.701176E+03   0.505090E+01   0.164294E-05   0.505090E+01   0.117103E+02   0.663015E-07   0.164294E-05   0.663015E-07   0.250018E-08
  1502   0.697752E+03   0.548893E+01   0.163303E-05   0.548893E+01   0.118139E+02   0.684753E-07   0.163303E-05   0.684753E-07   0.249668E-08
  1503   0.694312E+03   0.591559E+01   0.162308E-05   0.591559E+01   0.119198E+02   0.706318E-07   0.162308E-05   0.706318E-07   0.249319E-08
  1504   0.690849E+03   0.633097E+01   0.161311E-05   0.633097E+01   0.120272E+02   0.727707E-07   0.161311E-05   0.727707E-07   0.248970E-08
  1505   0.687362E+03   0.673467E+01   0.160310E-05   0.673467E+01   0.121370E+02   0.748921E-07   0.160310E-05   0.748921E-07   0.248622E-08
  1506   0.683859E+03   0.712679E+01   0.159307E-05   0.712679E+01   0.122482E+02   0.769957E-07   0.159307E-05   0.769957E-07   0.248275E-08
  1507   0.680340E+03   0.750723E+01   0.158300E-05   0.750723E+01   0.123618E+02   0.790816E-07   0.158300E-05   0.790816E-07   0.247928E-08
  1508   0.676806E+03   0.787563E+01   0.157291E-05   0.787563E+01   0.124769E+02   0.811495E-07   0.157291E-05   0.811495E-07   0.247582E-08
  1509   0.673248E+03   0.823213E+01   0.156280E-05   0.823213E+01   0.125928E+02   0.831994E-07   0.156280E-05   0.831994E-07   0.247237E-08
  1510   0.669689E+03   0.857644E+01   0.155266E-05   0.857644E+01   0.127117E+02   0.852313E-07   0.155266E-05   0.852313E-07   0.246892E-08
  1511   0.666099E+03   0.890930E+01   0.154250E-05   0.890930E+01   0.128315E+02   0.872449E-07   0.154250E-05   0.872449E-07   0.246547E-08
  1512   0.662501E+03   0.922848E+01   0.153232E-05   0.922848E+01   0.129527E+02   0.892402E-07   0.153232E-05   0.892402E-07   0.246204E-08
  1513   0.658888E+03   0.953694E+01   0.152211E-05   0.953694E+01   0.130755E+02   0.912172E-07   0.152211E-05   0.912172E-07   0.245861E-08
  1514   0.655273E+03   0.983246E+01   0.151189E-05   0.983246E+01   0.132006E+02   0.931755E-07   0.151189E-05   0.931755E-07   0.245518E-08
  1515   0.651666E+03   0.101165E+02   0.150165E-05   0.101165E+02   0.133265E+02   0.951153E-07   0.150165E-05   0.951153E-07   0.245177E-08
  1516   0.648027E+03   0.103869E+02   0.149139E-05   0.103869E+02   0.134531E+02   0.970364E-07   0.149139E-05   0.970364E-07   0.244835E-08
  1517   0.644388E+03   0.106458E+02   0.148111E-05   0.106458E+02   0.135813E+02   0.989386E-07   0.148111E-05   0.989386E-07   0.244495E-08
  1518   0.640741E+03   0.108932E+02   0.147082E-05   0.108932E+02   0.137110E+02   0.100822E-06   0.147082E-05   0.100822E-06   0.244155E-08
  1519   0.637086E+03   0.111263E+02   0.146052E-05   0.111263E+02   0.138407E+02   0.102686E-06   0.146052E-05   0.102686E-06   0.243815E-08
  1520   0.633438E+03   0.113478E+02   0.145020E-05   0.113478E+02   0.139720E+02   0.104531E-06   0.145020E-05   0.104531E-06   0.243477E-08
  1521   0.629774E+03   0.115571E+02   0.143988E-05   0.115571E+02   0.141048E+02   0.106357E-06   0.143988E-05   0.106357E-06   0.243138E-08
  1522   0.626102E+03   0.117535E+02   0.142954E-05   0.117535E+02   0.142376E+02   0.108164E-06   0.142954E-05   0.108164E-06   0.242801E-08
  1523   0.622437E+03   0.119377E+02   0.141919E-05   0.119377E+02   0.143712E+02   0.109951E-06   0.141919E-05   0.109951E-06   0.242464E-08
  1524   0.618764E+03   0.121089E+02   0.140883E-05   0.121089E+02   0.145063E+02   0.111719E-06   0.140883E-05   0.111719E-06   0.242127E-08
  1525   0.615090E+03   0.122679E+02   0.139847E-05   0.122679E+02   0.146422E+02   0.113467E-06   0.139847E-05   0.113467E-06   0.241792E-08
  1526   0.611424E+03   0.124146E+02   0.138810E-05   0.124146E+02   0.147781E+02   0.115195E-06   0.138810E-05   0.115195E-06   0.241456E-08
  1527   0.607757E+03   0.125477E+02   0.137773E-05   0.125477E+02   0.149140E+02   0.116903E-06   0.137773E-05   0.116903E-06   0.241122E-08
  1528   0.604089E+03   0.126693E+02   0.136735E-05   0.126693E+02   0.150514E+02   0.118592E-06   0.136735E-05   0.118592E-06   0.240788E-08
  1529   0.600429E+03   0.127787E+02   0.135698E-05   0.127787E+02   0.151889E+02   0.120260E-06   0.135698E-05   0.120260E-06   0.240454E-08
  1530   0.596776E+03   0.128751E+02   0.134660E-05   0.128751E+02   0.153263E+02   0.121908E-06   0.134660E-05   0.121908E-06   0.240122E-08
  1531   0.593122E+03   0.129585E+02   0.133622E-05   0.129585E+02   0.154646E+02   0.123536E-06   0.133622E-05   0.123536E-06   0.239789E-08
  1532   0.589484E+03   0.130304E+02   0.132584E-05   0.130304E+02   0.156036E+02   0.125144E-06   0.132584E-05   0.125144E-06   0.239458E-08
  1533   0.585844E+03   0.130909E+02   0.131546E-05   0.130909E+02   0.157418E+02   0.126731E-06   0.131546E-05   0.126731E-06   0.239127E-08
  1534   0.582220E+03   0.131369E+02   0.130509E-05   0.131369E+02   0.158808E+02   0.128298E-06   0.130509E-05   0.128298E-06   0.238796E-08
  1535   0.578603E+03   0.131721E+02   0.129472E-05   0.131721E+02   0.160198E+02   0.129844E-06   0.129472E-05   0.129844E-06   0.238466E-08
  1536   0.574993E+03   0.131944E+02   0.128436E-05   0.131944E+02   0.161581E+02   0.131369E-06   0.128436E-05   0.131369E-06   0.238137E-08
  1537   0.571405E+03   0.132044E+02   0.127400E-05   0.132044E+02   0.162972E+02   0.132873E-06   0.127400E-05   0.132873E-06   0.237808E-08
  1538   0.567832E+03   0.132030E+02   0.126365E-05   0.132030E+02   0.164362E+02   0.134356E-06   0.126365E-05   0.134356E-06   0.237480E-08
  1539   0.564237E+03   0.131893E+02   0.125331E-05   0.131893E+02   0.165738E+02   0.135819E-06   0.125331E-05   0.135819E-06   0.237153E-08
  1540   0.560679E+03   0.131641E+02   0.124299E-05   0.131641E+02   0.167113E+02   0.137260E-06   0.124299E-05   0.137260E-06   0.236826E-08
  1541   0.557136E+03   0.131259E+02   0.123267E-05   0.131259E+02   0.168496E+02   0.138680E-06   0.123267E-05   0.138680E-06   0.236499E-08
  1542   0.553607E+03   0.130770E+02   0.122236E-05   0.130770E+02   0.169872E+02   0.140078E-06   0.122236E-05   0.140078E-06   0.236174E-08
  1543   0.550087E+03   0.130151E+02   0.121207E-05   0.130151E+02   0.171233E+02   0.141455E-06   0.121207E-05   0.141455E-06   0.235848E-08
  1544   0.546588E+03   0.129424E+02   0.120180E-05   0.129424E+02   0.172601E+02   0.142810E-06   0.120180E-05   0.142810E-06   0.235524E-08
  1545   0.543112E+03   0.128582E+02   0.119154E-05   0.128582E+02   0.173954E+02   0.144144E-06   0.119154E-05   0.144144E-06   0.235200E-08
  1546   0.539644E+03   0.127618E+02   0.118130E-05   0.127618E+02   0.175300E+02   0.145456E-06   0.118130E-05   0.145456E-06   0.234876E-08
