#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    72   0.190833E+04  -0.662757E+01   0.551781E-03  -0.662757E+01   0.352443E+00  -0.752534E-06   0.551781E-03  -0.752534E-06   0.121070E-06
    73   0.193311E+04  -0.709940E+01   0.543578E-03  -0.709940E+01   0.366001E+00  -0.717349E-06   0.543578E-03  -0.717349E-06   0.120374E-06
    74   0.195809E+04  -0.758445E+01   0.535694E-03  -0.758445E+01   0.379731E+00  -0.676526E-06   0.535694E-03  -0.676526E-06   0.119677E-06
    75   0.198340E+04  -0.808106E+01   0.528076E-03  -0.808106E+01   0.393643E+00  -0.636733E-06   0.528076E-03  -0.636733E-06   0.118979E-06
    76   0.200899E+04  -0.858847E+01   0.520674E-03  -0.858847E+01   0.407737E+00  -0.603928E-06   0.520674E-03  -0.603928E-06   0.118280E-06
    77   0.203492E+04  -0.910648E+01   0.513447E-03  -0.910648E+01   0.422005E+00  -0.581232E-06   0.513447E-03  -0.581232E-06   0.117580E-06
    78   0.206122E+04  -0.963652E+01   0.506356E-03  -0.963652E+01   0.436473E+00  -0.571055E-06   0.506356E-03  -0.571055E-06   0.116880E-06
    79   0.208770E+04  -0.101748E+02   0.499362E-03  -0.101748E+02   0.451085E+00  -0.575809E-06   0.499362E-03  -0.575809E-06   0.116180E-06
    80   0.211447E+04  -0.107227E+02   0.492426E-03  -0.107227E+02   0.465846E+00  -0.597905E-06   0.492426E-03  -0.597905E-06   0.115481E-06
    81   0.214143E+04  -0.112808E+02   0.485520E-03  -0.112808E+02   0.480703E+00  -0.638322E-06   0.485520E-03  -0.638322E-06   0.114783E-06
    82   0.216864E+04  -0.118482E+02   0.478665E-03  -0.118482E+02   0.495679E+00  -0.692314E-06   0.478665E-03  -0.692314E-06   0.114086E-06
    83   0.219605E+04  -0.124246E+02   0.471889E-03  -0.124246E+02   0.510749E+00  -0.753703E-06   0.471889E-03  -0.753703E-06   0.113390E-06
    84   0.222372E+04  -0.130083E+02   0.465225E-03  -0.130083E+02   0.525908E+00  -0.816312E-06   0.465225E-03  -0.816312E-06   0.112697E-06
    85   0.225152E+04  -0.136003E+02   0.458703E-03  -0.136003E+02   0.541132E+00  -0.873963E-06   0.458703E-03  -0.873963E-06   0.112005E-06
    86   0.227953E+04  -0.141997E+02   0.452347E-03  -0.141997E+02   0.556432E+00  -0.921693E-06   0.452347E-03  -0.921693E-06   0.111316E-06
    87   0.230796E+04  -0.148056E+02   0.446158E-03  -0.148056E+02   0.571778E+00  -0.959404E-06   0.446158E-03  -0.959404E-06   0.110630E-06
    88   0.233638E+04  -0.154181E+02   0.440129E-03  -0.154181E+02   0.587183E+00  -0.988212E-06   0.440129E-03  -0.988212E-06   0.109946E-06
    89   0.236517E+04  -0.160385E+02   0.434253E-03  -0.160385E+02   0.602634E+00  -0.100923E-05   0.434253E-03  -0.100923E-05   0.109265E-06
    90   0.239416E+04  -0.166638E+02   0.428525E-03  -0.166638E+02   0.618090E+00  -0.102359E-05   0.428525E-03  -0.102359E-05   0.108586E-06
    91   0.242330E+04  -0.172947E+02   0.422939E-03  -0.172947E+02   0.633546E+00  -0.103227E-05   0.422939E-03  -0.103227E-05   0.107911E-06
    92   0.245274E+04  -0.179305E+02   0.417489E-03  -0.179305E+02   0.648986E+00  -0.103587E-05   0.417489E-03  -0.103587E-05   0.107239E-06
    93   0.248246E+04  -0.185712E+02   0.412171E-03  -0.185712E+02   0.664402E+00  -0.103483E-05   0.412171E-03  -0.103483E-05   0.106570E-06
    94   0.251226E+04  -0.192154E+02   0.406981E-03  -0.192154E+02   0.679757E+00  -0.102962E-05   0.406981E-03  -0.102962E-05   0.105904E-06
    95   0.254235E+04  -0.198638E+02   0.401913E-03  -0.198638E+02   0.695052E+00  -0.102069E-05   0.401913E-03  -0.102069E-05   0.105241E-06
    96   0.257245E+04  -0.205158E+02   0.396964E-03  -0.205158E+02   0.710271E+00  -0.100851E-05   0.396964E-03  -0.100851E-05   0.104582E-06
    97   0.260298E+04  -0.211705E+02   0.392129E-03  -0.211705E+02   0.725400E+00  -0.993528E-06   0.392129E-03  -0.993528E-06   0.103926E-06
    98   0.263374E+04  -0.218259E+02   0.387402E-03  -0.218259E+02   0.740431E+00  -0.976214E-06   0.387402E-03  -0.976214E-06   0.103274E-06
    99   0.266458E+04  -0.224850E+02   0.382781E-03  -0.224850E+02   0.755327E+00  -0.957025E-06   0.382781E-03  -0.957025E-06   0.102625E-06
   100   0.269571E+04  -0.231432E+02   0.378260E-03  -0.231432E+02   0.770088E+00  -0.936420E-06   0.378260E-03  -0.936420E-06   0.101979E-06
   101   0.272700E+04  -0.238037E+02   0.373834E-03  -0.238037E+02   0.784773E+00  -0.914858E-06   0.373834E-03  -0.914858E-06   0.101338E-06
   102   0.275880E+04  -0.244641E+02   0.369500E-03  -0.244641E+02   0.799234E+00  -0.892799E-06   0.369500E-03  -0.892799E-06   0.100700E-06
   103   0.279054E+04  -0.251254E+02   0.365252E-03  -0.251254E+02   0.813546E+00  -0.870703E-06   0.365252E-03  -0.870703E-06   0.100065E-06
   104   0.282251E+04  -0.257845E+02   0.361086E-03  -0.257845E+02   0.827707E+00  -0.849031E-06   0.361086E-03  -0.849031E-06   0.994347E-07
   105   0.285463E+04  -0.264430E+02   0.356997E-03  -0.264430E+02   0.841644E+00  -0.828240E-06   0.356997E-03  -0.828240E-06   0.988080E-07
