#    L    TT             EE             BB             TE          
   159   0.467273E+04   0.108356E+01   0.254284E-01  -0.455731E+02
   160   0.470299E+04   0.107395E+01   0.248559E-01  -0.453515E+02
   161   0.473305E+04   0.106412E+01   0.242951E-01  -0.451051E+02
   162   0.476283E+04   0.105391E+01   0.237461E-01  -0.448339E+02
   163   0.479247E+04   0.104341E+01   0.232093E-01  -0.445364E+02
   164   0.482168E+04   0.103269E+01   0.226847E-01  -0.442140E+02
   165   0.485076E+04   0.102167E+01   0.221726E-01  -0.438645E+02
   166   0.487954E+04   0.101051E+01   0.216732E-01  -0.434894E+02
   167   0.490811E+04   0.998985E+00   0.211866E-01  -0.430894E+02
   168   0.493624E+04   0.987464E+00   0.207131E-01  -0.426622E+02
   169   0.496408E+04   0.975651E+00   0.202529E-01  -0.422078E+02
   170   0.499162E+04   0.963773E+00   0.198061E-01  -0.417277E+02
   171   0.501871E+04   0.951828E+00   0.193730E-01  -0.412196E+02
   172   0.504543E+04   0.939745E+00   0.189538E-01  -0.406851E+02
   173   0.507170E+04   0.927523E+00   0.185486E-01  -0.401239E+02
   174   0.509766E+04   0.915461E+00   0.181576E-01  -0.395362E+02
   175   0.512324E+04   0.903264E+00   0.177811E-01  -0.389212E+02
   176   0.514829E+04   0.891153E+00   0.174192E-01  -0.382788E+02
   177   0.517296E+04   0.879057E+00   0.170717E-01  -0.376106E+02
   178   0.519717E+04   0.867200E+00   0.167384E-01  -0.369149E+02
   179   0.522092E+04   0.855284E+00   0.164189E-01  -0.361919E+02
   180   0.524436E+04   0.843534E+00   0.161131E-01  -0.354430E+02
   181   0.526727E+04   0.831951E+00   0.158208E-01  -0.346681E+02
   182   0.528973E+04   0.820610E+00   0.155416E-01  -0.338657E+02
   183   0.531165E+04   0.809438E+00   0.152753E-01  -0.330374E+02
   184   0.533319E+04   0.798510E+00   0.150216E-01  -0.321823E+02
   185   0.535426E+04   0.787976E+00   0.147804E-01  -0.313027E+02
   186   0.537451E+04   0.777696E+00   0.145514E-01  -0.303956E+02
   187   0.539460E+04   0.767811E+00   0.143343E-01  -0.294624E+02
   188   0.541415E+04   0.758309E+00   0.141288E-01  -0.285046E+02
   189   0.543310E+04   0.749226E+00   0.139348E-01  -0.275208E+02
   190   0.545189E+04   0.740617E+00   0.137520E-01  -0.265131E+02
   191   0.546977E+04   0.732503E+00   0.135801E-01  -0.254785E+02
   192   0.548726E+04   0.724910E+00   0.134189E-01  -0.244193E+02
   193   0.550415E+04   0.717882E+00   0.132681E-01  -0.233369E+02
   194   0.552065E+04   0.711450E+00   0.131276E-01  -0.222291E+02
   195   0.553655E+04   0.705652E+00   0.129969E-01  -0.210981E+02
